Id,Title,User,Task,Chart_Type,Interaction,Information_Granularity,Sensory_Modality,Assistive_Technology,Contribution_Type,Perception_Channel,Year,Venue,Keywords,DOI
28,Development and Evaluation of Two Prototypes for Providing Weather Map Data to Blind Users through Sonification,Blind,Read,Map,Coordinate; Filter; Navigate; Select,Detail,Sonification; Speech and Tactile graphic,Touch screen tablet and Sound synthesizer,Artifact,Sound and Touch,2013,JUS,universal usability; disability; visualization; tablet computer; auditory interfaces; multimodal; weather; sonification; universal design; visual impairment; blindness; accessibility,https://doi.org/10.5555/2817919.2817921
29,Evaluating a tool for improving accessibility to charts and graphs,Blind,Read,Line chart,Navigate,Detail and Overview,Speech,Screen reader and Keyboard,Artifact,Sound,2013,TOCHI,Assistive technology; Blind users; Charts and graphs; Field studies; Iterative design; Line graph; Set of lines; Usability studies; Graph theory; Graphic methods; Handicapped persons,https://doi.org/10.1145/2533682.2533683
30,Implementing disability accommodations in a widely distributed web based visualization and analysis platform - Weave,Blind,Read,Line chart,None,Existence and Overview,Speech,Screen reader,Artifact,Sound,2013,UAHCI,access; accessibility; blind; disability; screen reader; universal design; vision; visualization; Weave; access; accessibility; blind; disability; Screen readers; Universal Design; Design; Flow visualization; Human computer interaction; Tools; Vision; Visualization; Weaving; Data visualization,https://doi.org/10.1007/978-3-642-39188-0-4
31,Learning non-visual graphical information using a touch-based vibro-audio interface,Blind,Read,Bar chart,None,Overview,Haptic Feedback and Speech,Touch screen tablet (electromagnetic actuator),Artifact,Sound and Touch,2012,ASSETS,Accessibility blind and visually-impaired assistive technology; Android programming; Audio cues; Graphs and diagrams; Haptic cues; Information graphics; Assistive technology; Audio cues; Graphs and diagrams; Haptic cues; Information graphics; Computer graphics; Pattern recognition; Interfaces (materials),https://doi.org/10.1145/2384916.2384935
32,Non-visual presentation of graphs using the Novint Falcon,Visually impaired,Create,Pie chart; Bar chart and Line chart,Visualize,Overview,Haptic Feedback,Haptic device,Artifact,Touch,2012,ICCHP,Accessible Graphs; Force Feedback; Haptic Technology; Novint Falcon; Visual Impairment; Accessible Graphs; Force feedback; Haptic technology; Novint Falcon; Visual impairment; Graph theory; Virtual reality; Visualization; Haptic interfaces,https://doi.org/10.1007/978-3-642-31534-3_76
33,GraVVITAS: Generic multi-touch presentation of accessible graphics,Blind,Read,Line chart,Navigate,Detail and Overview,Haptic Feedback;Sonification and Speech,Touch screen tablet and Haptic device ,Artifact,Touch and Sound,2011,INTERACT,accessibility; audio; graphics; haptic; multi-touch; speech; accessibility; audio; graphics; haptic; Multi-touch; Accessibility; Audio; Graphics; Haptic; Multi-touch; Speech; Graph theory; Speech; Graph theory; Human computer interaction,https://doi.org/10.1007/978-3-642-23774-4_5
34,Handscope: Enabling blind people to experience statistical graphics on websites through haptics,Blind,Read,Tag cloud and Star rating,None,Existence and Overview,Haptic Feedback,Haptic device (custom haptic mouse),Artifact,Touch and Sound,2011,CHI,Blind users; Haptic; Statistical graphics; Web accessibility; Assistive devices; Blind people; Blind users; Dynamic changes; Haptic; Haptics; Statistical datas; Statistical graphics; User study; Web accessibility; Web experiences; Cloud computing; Data visualization; Handicapped persons; Human computer interaction; User interfaces; Websites; Statistics,https://doi.org/10.1145/1978942.1979237
35,Clutching at straws: Using tangible interaction to provide non-visual access to graphs,Visually impaired,Create,Line chart and Bar chart,Visualize and Navigate,Overview and Detail,Sonification and Tactile graphic,Camera (image recognition) and Static tactile objects (fiducial markers),Artifact,Touch and Sound,2010,CHI,graphs; haptic interaction; tangible user interface; visual impairment,https://doi.org/10.1145/1753326.1753583
36,Digitizer Auditory Graph: Making graphs accessible to the visually impaired,Visually impaired or Sighted,Read,Line chart,None,Overview,Sonification,Camera (image recognition); OCR and Sound synthesizer,Artifact,Sound,2010,CHI,Assistive technology; Auditory graph; Sonification; Visually impaired; Assistive technology; Cell phone camera; Design approaches; Design goal; Digitizers; Evaluation results; Graph image; Input devices; Line graph; Multimodal displays; Software tool; Sonifications; User testing; Visually impaired; Visually impaired students; Cameras; Human engineering; Telecommunication equipment; Cellular telephone systems,https://doi.org/10.1145/1753846.1753999
37,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Visually impaired,Read,Line chart;Bar chart;Pie chart and Scatter plot,Guide; Navigate and Select,Overview and Detail,Haptic Feedback and Speech,Haptic device,Artifact,Touch and Sound,2010,TACCESS,Accessible graphs; Assistive technology; Haptic; Nonvisual charts navigation,https://doi.org/10.1145/1857920.1857925
38,Review of designs for haptic data visualization. ,Visually impaired,Read,Line chart; Bar chart;Pie chart and Map,None,Overview and Detail,Haptic Feedback,Haptic device and Touch screen tablet,Survey,Touch,2010,ToH,Haptic data visualization; haptics; non-visual visualization; haptic visualization; haptic design,https://doi.org/10.1109/TOH.2009.44
39,Universal design of auditory graphs: A comparison of sonification mappings for visually impaired and sighted listeners,Visually impaired,Read,Table,None,Detail,Sonification,Sound synthesizer ,Empirical Research,Sound,2010,TACCESS,Auditory display; Magnitude estimation; Visually impaired; Acoustic parameters; Auditory display; Data analysis; Data values; Design issues; Magnitude estimation; Modulation indexes; Psychophysical scaling; Scaling functions; Software designers; Sonifications; Universal Design; Vision impairments; Visually impaired; Computer software; Design; Estimation; Frequency estimation; Data visualization,https://doi.org/10.1145/1714458.1714459
40,Usability of accessible bar charts,Blind,Read,Bar chart,None,Overview and Detail,Haptic Feedback and Speech,Embosser,Empirical Research,Touch and  Sound,2010,Diagrams,Audio description; Bar chart; Commonly used; Error rate; Grid line; Performance benefits; Sensitive devices; User study; Audio description; Audio feedbacks; Error rate; Grid line; On demands; Performance benefits; Sensitive devices; User study; Graphic methods; Graphic methods; Artificial intelligence; Computer science; Computers,https://doi.org/10.1007/978-3-642-14600-8_17
41,A syntactic analysis of accessibility to a corpus of statistical graphs,Blind or Visually impaired,Read,Line chart,None,Overview,Speech,Screen reader,Survey,Sound,2008,W4A,Accessibility (Blind and Visually Impaired); Knowledge Rep- resentation; Statistical Graphs,https://doi.org/10.1145/1368044.1368053
42,Decision tree induction for identifying trends in line graphs,Blind,Read,Line chart,None,Overview,Speech,Speech synthesis,Artifact,Sound,2008,ISMIS,Outlier Detection Line Graph Information Graphic Split Point Distinguishable Trend,https://doi.org/10.1007/978-3-540-68123-6_43
43,Haptic and aural graphs exploration for visually impaired users,Visually impaired,Read,Line chart,Navigate,Overview,Haptic Feedback;  Speech and Sonification,Haptic device (AudioTact),Artifact,Touch and Sound,2008,CVHI,Multimodal graphs accessibility; vocal and haptic feedback; accessibility for visual impairments,https://doi.org/10.1.1.142.6869
44,Refreshable tactile graphics applied to schoolbook illustrations for students with visual impairment,Visually impaired,Read,Bar chart and Map,Navigate,Overview,Tactile graphic and Speech,Audio-tactile device,Artifact,Touch and Sound,2008,ASSETS,Students with visual impairment; accessibility; multimodal device; tactile graphics; pedagogy; children with special needs,https://doi.org/10.1145/1414471.1414489
45,A browser extension for providing visually impaired users access to the content of bar charts on the web,Visually impaired,Read,Bar chart,None,Overview,Speech,Screen reader (browser extension),Artifact,Sound,2007,WEBIST,Accessibility; assistive technology; plan recognition; Bayesian networks; graph understanding,https://doi.org/10.5220/0001274600590066
46,Teaching graphs to visually impaired students using an active auditory interface,Blind,Read,Node-link diagram,Navigate,Overview and Detail,Speech and Sonification,Screen reader and Touch screen tablet,Artifact,Sound,2007,SIGCSE,Accessibility; C# Programming Language; Audio; Graph.,https://doi.org/10.1145/1124706.1121428
47,Feeling what you hear: Tactile feedback for navigation of audio graphs,Blind or Visually impaired,Read,Bar chart and Line chart,Navigate,Overview and Detail,Tactile graphic and Speech,Touch screen tablet and Screen reader,Artifact,Touch and Sound,2006,CHI,Tactile; audio; multimodal; graph; navigation; blind; accessibility; guidelines,https://doi.org/10.1145/1124772.1124941
48,Non-visual overviews of complex data sets,Blind or Visually impaired,Read,Table,Navigate,Overview,Sonification and Speech,Touch screen tablet,Artifact,Touch and Sound,2006,CHI EA,Sonification; tablet; data tables; overview; accessibility,https://doi.org/10.1145/1125451.1125634
49,Tac-tiles: Multimodal pie charts for visually impaired users,Visually impaired,Read,Pie chart,Navigate,Overview and Detail,Tactile graphic;  Sonification and Speech,Touch screen tablet,Artifact,Touch and Sound,2006,NordiCHI,Tactile; tangible; graphs; blind; accessibility,https://doi.org/10.1145/1182475.1182477
50,Automating tactile graphics translation,Blind,Read,Bar chart and Line chart,None,Overview,Tactile graphic,Embosser,Artifact,Touch,2005,ASSETS,Tactile graphics; Braille; user study; image processing; ma-chine learning; disability; accessibility,https://doi.org/10.1145/1090785.1090814
51,Issues in the non-visual presentation of graph based diagrams,Visually impaired,Read,Node-link diagram,None,Overview,Speech and Sonification,Screen reader,Survey,Sound,2004,IV,Visualization ; Computer science ; Speech ; Data mining ; Dictionaries ; Flowcharts ; Biological system modeling ; Unified modeling language ; Organizational aspects ; Nitrogen,https://doi.org/10.1109/IV.2004.1320214
52,Evaluation of long descriptions of statistical graphics for blind and low vision web users,Blind or Low vision,Read,Line chart;Pie chart; Bar chart;Scatter plot;Map and Table,None,Overview,Speech,Screen reader,Empirical Research,Sound,2002,ICCHP,Lesson Plan; Screen Reader; Blind User; Accessibility Guideline; Worcester Polytechnic Institute,https://doi.org/10.1007/3-540-45491-8_99
53,Multimodal Virtual Reality versus Printed Medium in Visualization for Blind People,Visually impaired,Read,Bar chart,Navigate,Overview and Detail,Haptic Feedback; Sonification and Speech,Haptic device,Artifact,Touch and Sound,2002,ASSETS,haptics; assistive technology; multimodal interface; human computer interaction; virtual reality,https://doi.org/10.1145/638249.638261
54,Haptic graphs for blind computer users,Blind,Read,Line chart,Navigate,Overview and Detail,Haptic Feedback,Haptic device,Artifact,Touch,2001,Haptic HCI,Haptics; haptic graphs; assistive technology; visualization; multimodal interaction,https://doi.org/10.1007/3-540-44589-7_5
55,Constructing sonified haptic line graphs for the blind student: First steps,Blind,Read,Line chart,Navigate,Overview and Detail,Haptic Feedback and Sonification,Haptic device; Sound synthesizer ,Artifact,Sound and Touch,2000,ASSETS,Force feedback; Haptic display; Line graphs; Spatial sound; Visual impairment,https://doi.org/10.1145/354324.354330
56,Design of a haptic data visualization system for people with visual impairments,Visually impaired,Read,Scatter plot; Line chart; and Surfaces,Navigate,Overview and Detail,Haptic Feedback and Speech,Haptic device,Artifact,Touch and Sound,1999,ToRE,Haptics; virtual environment; visualization,https://doi.org/10.1109/86.788473
