APA Citation,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
"Belo, R., Ferreira, P., Telang, R. (2014). Broadband in School: Impact on Student Performance. Management Science, 60(2), 265–282. https://doi.org/10.1287/mnsc.2013.1770",10.1287/mnsc.2013.1770,Broadband in School: Impact on Student Performance.,"Belo, R., Ferreira, P., Telang, R.",2014,Experimental,"Mixed method, Survey, Interview, Secondary analysis, Modeling","Belo et al. developed a model to explain the relationship between students' time using broadband and their performance outcomes. 2005-2009, all middle school Portugal ninth-grade national exam performance declined 0.78 standard deviation due to broadband access in school, at least in the first few years after the broadband was implemented.
With proper regulation of broadband usage, such as blocking entertainment websites and apps such as YouTube, students perform better. Method: measured by the amount of information exchanged over the Internet using asymmetric digital subscriber line (ADSL) connections. ""The impact of the Internet on students' performance depends on how effective Internet use is relative to standard study and how much time students devoting activities.""

Surveys were conducted to investigate different school policies on internet usage at school. The result shows that boys are slightly more under the effect (magnitude) of broadband usage than girls. Regardless of school type, all students' performance is negatively affected. Both math and Portuguese course grade are affected. ","Without proper monitoring or regulation, broadband access may cause negative effect on learning outcomes.",N/A,"School, Internet, Student, Use, Information, Broadband, Performance, Monitoring, Broadband, Access","Broadband availability and impact, Student achievement and performance",Portugal,Check,Check,Check,"Parents, Students, Teachers"
"Berklan, S., & Hughes, T. R. (2020). Is innovation outpacing insight: Why schools need policy to address communication practices with parents. eJournal of Education Policy, 21(1). https://doi.org/10.37803/ejepS2010",10.37803/ejepS2010,Is Innovation Outpacing Insight: Why Schools Need Policy to Address Communication Practices with Parents.,"Berklan, S., & Hughes, T.R.",2020,"Descriptive, Case study","Mixed method, Survey, Interview, Policy breif","The study examined how parents communicate with their child's school,  whether they feel their preferences are valued by school practices, do opinions differ between ethnic and socioeconomic groups...

The result shows that parents strongly prefer two-way communication in web-based manners (email). Parents reported that they sometimes find it is confusing or puzzling figuring out how to contact the school (especially minority parents).","At the end of the article, the author raised the question that as technology evolves (and the digital divide expands), how can schools ensure all parents/households can effectively communicate?",Further study can look deeper from the school's perspective in how schools have made an effort to improve communication through technology with parents.,"Communication, Parents, School, Digital communications, Policy, Technology, Education, Accessibility","Parents' attitude and perception, Parents' engagement, Policy implications",US (Arizona),Check,,,Parents
"Bhandari, Aarushi. (2019). Gender inequality in mobile technology access: the role of economic and social development. Information, Communication & Society, 22(5), 678–694. https://doi.org/10.1080/1369118X.2018.1563206",10.1080/1369118X.2018.1563206,Gender inequality in mobile technology access: the role of economic and social development.,"Bhandari, Aarushi",2019,Experimental,"Secondary analysis, Modeling","The author examined cross-national data about access to Information and Communications Technologies (ICTs) disaggregated by gender from the International Telecommunications Union (ITU) to explore factors associated with women's unequal access to mobile phones across 51 countries. 

""Women's wellbeing, as measured by their access to modern contraception (i.e., reproductive autonomy), overwhelmingly promotes women's relative access to mobile phones, regardless of preexisting levels of access. Other perspectives like the growth imperative and world polity theory show some staggered associations along with the distribution that remain substantively inconclusive.""","The digital divide as a type of social inequality is closely tied to other social inequality, such as gender inequality. Closing gender inequality increases females' access to digital resources and vice versa.",N/A,"Women, Development, Gender inequality, Access, Economic, Inequalities, Information, Digital","Social inequality, Access to digital device",US,,,,
"Bruno, Giuseppe, Esposito, Emilio, Genovese, Andrea, & Gwebu, Kholekile L. (2011). A Critical Analysis of Current Indexes for Digital Divide Measurement. The Information Society, 27(1), 16–28. https://doi.org/10.1080/01972243.2010.534364",10.1080/01972243.2010.534364,A Critical analysis of Current Indexes for Digital Divide Measurement,"Bruno, Giuseppe, Esposito, Emilio, Genovese, Andrea, & Gwebu, Kholekile L",2011,Critical analysis,"Critical analysis, Modeling","According to the paper, there are many definitions of the digital divide that it is no longer simply a difference in resources but a multidimensional concept. Furthermore, many indicators and indexes measure the digital divide, such as infrastructure, affordability, knowledge, quality, and actual usage.

The researchers use principal component analysis to remove the redundant indicators and, at the same time, include indicators not just use and access but also ecological, socioeconomic, political, and cultural factors that influence the digital divide. 

The newly merged indicators provide a more efficient way of measuring the digital divide. The analysis results also show that IDI and ICT-OI strongly correlate with GDP (gross domestic product).",This article provide a feasible way to measure digital divide on a comprehensive and national level.,N/A,"Index, Indicator, Icts, Ict, Digital divide, Development, Composite indexes",Digital divide,US,,,,
"Camerini, Anne-Linda, Schulz, Peter J, & Jeannet, Anne-Marie. (2018). The social inequalities of Internet access, its use, and the impact on children’s academic performance: Evidence from a longitudinal study in Switzerland. New Media & Society, 20(7), 2489–2508. https://doi.org/10.1177/1461444817725918",10.1177/1461444817725918,"The Social Inequalities of Internet Access, Its Use, and the Impact on Children's Academic Performance: Evidence from a Longitudinal Study in Switzerland.","Camerini, Anne-Linda, Schulz, Peter J, & Jeannet, Anne-Marie",2018,"Longitudinal, Correlational","Survey, Modeling","Dichotomous Internet use among children -- negative impacts of distraction and time spent on non-academic elements (i.e., entertainment), coupled with the positive impact of Internet on peer-based learning and other cognitive stimulation

Second Order Digital Divide: Moving beyond a question of Internet access... this second order concerns how children use the Internet (authors find that parental income and parental education dictate how time is spent online) *access to devices alone is not the only academic determinant*

The authors found that children’s Internet use is not detrimental per se but rather problematic when personal digital media is frequently used for entertainment and communication purposes, The teaching of digital information literacy combined with an increased utilization of digital devices in classroom settings to promote a habitual use of the Internet for information and educational purposes, Recommendations and concrete interventions should be provided for how to communicate and teach a deliberate use of the Internet by children. Interventions should be family- and school-based, thus directed both to children and their parents as central socialization instances Students from low-income households were more likely to use Internet-connected devices for entertainment and non-academic purposes, and this worsens their academic performance Interestingly, this study found little evidence of a first-order digital divide (income level determining access to Internet) in the affluent country of Switzerland","""we showed that socio-economic status no longer determines children’s possibilities to get personal access to the Internet (no first-order digital divide) in an affluent society such as Switzerland. Rather we show that, even at a young age, the more children are given personal digital media devices, the more they use these devices for entertainment and online communication (second-order digital divide), which, eventually, worsens their
academic performance.""","To bridge the gap of differential use between children of different socio-economic backgrounds, we suggest that family- and schoolbased digital literacy programs are needed to raise awareness. Such programs should, on one hand, give students coping strategies for managing the distractions of communication and entertainment on the Internet so that it does not interfere with studying and homework and, on the other hand, teach the skills for and promote habitual Internet use for information and educational purposes.","Media, Children, Social, Education, Internet, Schools, Devices","Broadband availability and impact, Student achievement and performance, Digital and technology usage, Social inequality",Switzerland,,,,
"Carpenter, Wendy M. (2020). The Relationship Between i-Ready Usage and TNready Testing, Computer-Based Vs. Paper-Pencil, for 5th–8th Grades in East Tennessee. ProQuest Dissertations Publishing.",None,"The Relationship Between i-Ready Usage and TNready Testing, Computer-Based Vs. Paper-Pencil, for 5th–8th Grades in East Tennessee.","Carpenter, Wendy M",2020,"Correlational, Thesis/Dissertation",Secondary analysis,"The paper discusses the relationship between i-ready usage and Tnready Testing, computer-based vs paper-pencil tests, for 5th - 8th grade students in the east Tennesse.","""Technology also provided richer content materials, personalized tutoring, and automatic progress monitoring/measuring (Kulik et al., 1983). Teachers have the quick access to data-driven instruction allowing more time to
spend with students."" -- good context to consider","Other studies analyze the transition from paper-and-pencil assessments to computer-based and the implications for home broadband access?

Relationship between i-Ready (or other instructional technologies) and student performance

Possible research questions: Do the tech platforms motivate students? Do certain programs contribute to 'digital literacy' in terms of confidence?","Student, Testing, Test, Assessment, Tennessee, Technology, Standardized achievement","Student achievement and performance, Digital and technology usage",US (Tennessee),,Check,,Students
"Cohron, Madalyn. (2015). The Continuing Digital Divide in the United States. The Serials Librarian, 69(1), 77–86. https://doi.org/10.1080/0361526X.2015.1036195",10.1080/0361526X.2015.1036195,The Continuing Digital Divide in the United States.,"Cohron, Madalyn",2015,Comentary,N/A,"Phone use is closing the digital gap. However, the ""cell-mostly internet user"" group is most likely ""young adults, non-whites, the less educated, and the less affluent."" Still, literacy plays a role in deciding whether users retrieve useful information or useless information. A key point in closing the digital gap is maintaining access to the internet.","Constant effort in providing accessibility is critical to closing the digital gap. However, digital skills discrepancies have become more critical as the resource inequity moves to the next stage.",N/A,"Broadband, Internet, Divide, Library, Digital, Information, Technology, Accessibility","Access to digital device, Digital divide, Social inequality",US,,,,
"Colwell, M., Schumann, A., & Shakfa, A. (2018). The Social Impact of Broadband: A Case Study of Red Cliff, Colorado.University of Colorado. http://nwccog.org/wp-content/uploads/2018/04/The-Social-Impact-of-Broadband-Colwell-Schumann-Shakfa_FINAL3.pdf",None,"The Social Impact of Broadband: A Case study of Red Cliff, Colorado.","Colwell, M., Schurmann, A., & Shakfa, A.",2018,Case study,"Case study, Mixed method, Survey, Interview","Red Cliff, CO received fixed broadband in 2017 (formerly a very disconnected area)

Analyzes broadband impact through five lenses: access, adoption, marketplace competition, digital commerce, and social impact.

Results
Access: 75% of respondents indicated that they traveled to access broadband before the town adopted
Adoption: Red Cliff's adoption rate was at 63%, higher than the national average of 53.5%, indicating a strong demand from residents
Marketplace Competition: 80% of respondents indicated that they planned to subscribe to an outside streaming service now that they had access to broadband
Digital Commerce: respondents said that they found it significantly easier to shop online, and that their quality of life was improved
Social Impact: most residents said that broadband has an 'extremely positive' impact on their quality of life (ease of connecting with others socially, paying bills, accessing healthcare services, ability to work from home)","The authors' emphasis on the importance of the five pillars they examined: access, adoption, marketplace competition, digital commerce, and social impact. These five lens could be referenced and used in the future related studies.",""" A future area of research would be to drill down deeper on some specific topics including delivery of healthcare via telemedicine, digital commerce, real
estate prices and community growth, and educational uses. Many of these were topics where we detected interest and use from residents, but we were unable to
ask a number of follow-up questions to fully understand what interesting uses of broadband by residents might be and help shine light on the true social impact of broadband. ""","Broadband, Service, Residents, Towns","Broadband availability and impact, Digital and technology usage",US (Colorado),,,,
"DiMaggio, P., Hargittai, E., Celeste, C. & Shafer, S. (2004). Digital Inequality: From Unequal Access to Differentiated Use. In Social Inequality. Edited by Kathryn Neckerman. New York: Russell Sage Foundation. 355-400.",None,"From Unequal Access to Differentiated Use: A Literature Review and Agenda for Research on Digital
Inequality","DiMaggio, P., Hargittai, E., Celeste, C. & Shafer, S.",2001,Systematic review,Systematic review,"(1) The digital divide. Who has access to the Internet, who does not have access, and how has this changed? This is the topic about which information is currently most abundant.
(2) Is access to and use of the Internet more or less unequal than access to and use of other forms of information technology?
(3) Inequality among persons with access to the Internet. 
(4) Does access to and use of the Internet affect people’s life chances?
(5) How might the changing technology, regulatory environment and industrial organization of the Internet render obsolete the findings reported hear?
Conclusion: should focuses upon the extent and causes of different returns to Internet use for different kinds of users
","1. Expand the focus of research from the “digital divide” between “haves” and “have-nots” (or
between users and non-users) to the full range of digital inequality in equipment, autonomy, skill,
support, and scope of use among people who are already online.
2. Compare inequality in access to and use of the Internet for significant purposes to inequality in
access to use of other media for the same purposes.
3. Develop and test models of the social processes that engender or ameliorate inequality by
mediating the relationship between individuals’ social identities and their access to and use of new
technologies.
4. Extend such models to the relationship between the use of these technologies and valued
individual-level outcomes, and investigate variations in rates of return to technology use for different
subgroups within the population.
5. Supplement individual-level research with analysis of institutional factors that shape and
modify the relationships between individual characteristics and individual outcomes.",N/A,"Digital, Inequality, Access, Internet, Technology, Social, Government, Differences","Social inequality, Digital divide, Access to digital device, Digital and technology usage",,,,,
"Downes, Taylor, Di Cesare, Dane Marco, Gallagher, Tiffany L, & Rowsell, Jennifer. (2020). Parents' beliefs about and associations to their elementary children's home technology usage. Education and Information Technologies, 25(5), 1–4574. https://doi.org/10.1007/s10639-020-10188-2",10.1007/s10639-020-10188-2,Parents' Beliefs About and Associations to Their Elementary Children's Home Technology Usage.,"Downes, Taylor, Di Cesare, Dane Marco, Gallagher, Tiffany L, & Rowsell, Jennifer",2020,Descriptive,Survey,"This study sought to gather information through a survey of how newcomer parents’
beliefs about technology usage and how they engage with technology as they support
their children with twenty-first century literacies. Parent respondents (N = 70) were
drawn from two publicly funded schools in the Niagara Region, Ontario, Canada,
where the population tends to be immigrant, visible minority, with post-secondary
education, but unemployed and low income. Descriptive statistics quantified daily
technology activities as being communication-oriented with the majority of parents
holding distinct beliefs about the amount and type of their children’s technology usage.
Chi-square tests indicated significant associations for demographic characteristics such

as the gender, age, education, first language, and ethnicity of the parents as determi-
nants of their beliefs about their children’s technology usage (e.g., social media, mobile

phones, television). As well, levels of access and use varied in terms of the number of
new technologies and the types of literacy practices that families engage in. Immigrant
parents might hold misconceptions about twenty-first century literacies, therefore there
should be an attempt to assist them to provide responsive twenty-first century literacy
and technology support for their children.",""" A future area of research would be to drill down deeper on some specific topics including delivery of healthcare via telemedicine, digital commerce, real estate prices and community growth, and educational uses. Many of these were topics where we detected interest and use from residents, but we were unable to ask a number of follow-up questions to fully understand what interesting uses of broadband by residents might be and help shine a light on the true social impact of
broadband.""

Survey questions are available in the appendix. ",N/A,"Parents, Technology, Schools, School, Use, Literacy, Digital, Children, Second-language learners, K12","Parents' attitude and perception, Digital and technology usage",Canada,Check,,,Parents
"Dutton, W.H., Helsper, E.J., and Gerber, M.M. (2009) The Internet in Britain: 2009. Oxford Internet Institute, University of Oxford. http://blogs.oii.ox.ac.uk/oxis/wp-content/uploads/sites/43/2014/11/oxis2009-report.pdf",None,OXIS The Internet in Britain 2009,"Dutton, W.H., Helsper, E.J., and Gerber, M.M.",2009,"Descriptive, Organization report","Mixed method, Survey, Interview","""The 2009 Oxford Internet Survey (OxIS) describes aspects of the new, broadband, and
more mobile Internet and its Web 2.0 platforms. It shows how this evolving Internet is reconfiguring access to information, people and services in ways that are reshaping
economic and social development.""

The content covers the Internet and digital device adoption, digital divides, digital and internet usage, implications, policies, attitudes, etc. In addition, there are rich details and findings in the report. ","The social implications of the Internet, identified in this report, support current initiatives to bring those excluded into the UK government’s vision of a ‘Digital Britain’, by reducing barriers to inclusion.",N/A,"Usage, Adoption, Digital, Regulation, Digital divide, Social, Policy","Broadband availability and impact, Digital and technology usage, Social inequality, Educational outcomes, Digital divide, Access to digital device",UK,,,,
Education Development Center and SRI International. (2012a). 2012 Context study of the use of technology and PBS KIDS transmedia in the home environment: A report to the CPBPBS ready to learn initiative. Retrieved from http://cct.edc.org/sites/cct.edc.org/files/publications/Home%20Body%20Feb%2013.pdf,None,2012 Context Study of the Use of Technology and PBS KIDS Transmedia in the Home Environment: A Report to the CPBPBS Ready to Learn Initiative.,Education Development Center and SRI International,2012,"Exploratory, Organization report","Qualitative summative evaluation, Survey, Focus group, Mixed method","Fourteen families participated in the Home Study (7 on the east coast, seven on the west coast). Technology use was common to all participating families on the east coast but not all families on the west coast. Children age between 2-8 years. Results:
1. ""The parents who used technology regularly before participating in the study used it for a wide variety of purposes: entertainment (e.g., watching videos/movies, listening to music), communication (often geographically distant relatives), finding information (e.g., recipes, translation services, maps), work, banking/bills, learning English, taking pictures, searching for jobs, and searching for homes for sale.""
2. ""Educational uses of media, including using media to support reading and math, were secondary to children's use of technology for entertainment.""
3. increased screen and game time and social and communication between family members. Parents are concerned about using technology (exposure to violent and inappropriate info, hinder natural development) and hoping technology can help children learn. Regulation on-screen time is loose.",This study provides a set of potential interview questions for parents on their use and perception of technology use at home.,N/A,"Parents, Family, Children, Learning, Technology, Game play, Use, Watch, Policy","Parents' attitude and perception, Digital and technology usage, Access to digital device",US,Check,,,Parents
"Engin, G. (2020). An Examination of Primary School Students' Academic Achievements and Motivation In Terms of Parents' Attitudes, Teacher Motivation, Teacher Self-efficacy and Leadership Approach. International Journal of Progressive Education, 16(1), 257–276. https://files.eric.ed.gov/fulltext/EJ1244883.pdf, DOI: 10.29329/ijpe.2020.228.18
",10.29329/ijpe.2020.228.18,"An Examination of Primary School Students' Academic Achievements and Motivation In Terms of Parents' Attitudes, Teacher Motivation, Teacher Self-efficacy and Leadership Approach.","Engin, G",2020,Descriptive,Survey,"This study examines how parental involvement/attitudes impact student achievement and motivation to learn. It also examines teacher motivation/self-efficacy.
Separates parent attitudes into four categories: democratic, authoritarian, neglectful permissive, and tolerant permissive (in terms of demandingness and sensitivity)

The result shows that as parent education level increases, student motivation increases || as teacher motivation increases, student achievement increases || students with parents w/ democratic attitudes (low demandingness and high sensitivity) have a higher motivation than parents w/ other attitudes ||",This study provides an exciting categorization of parental attitudes.,N/A,"Academic achievement, Parents' attitudes, Motivation, Leadership approach, Selfefficacy","Student achievement and performance, Motivation, Parents' attitude and perception, Self-efficacy",Turkey,,,,
